first_author_gender,rounds,count
andy,0.5,3
andy,1.0,50
andy,1.5,178
andy,2.0,539
andy,2.5,121
andy,3.0,145
andy,3.5,11
andy,4.0,15
andy,5.0,1
female,0.5,4
female,1.0,87
female,1.5,423
female,2.0,978
female,2.5,274
female,3.0,246
female,3.5,22
female,4.0,29
female,4.5,1
female,5.0,3
male,0.5,10
male,1.0,218
male,1.5,845
male,2.0,1858
male,2.5,508
male,3.0,453
male,3.5,39
male,4.0,34
male,4.5,1
male,5.0,10
male,5.5,1
unknown,0.5,5
unknown,1.0,115
unknown,1.5,511
unknown,2.0,1316
unknown,2.5,341
unknown,3.0,409
unknown,3.5,41
unknown,4.0,43
unknown,5.0,6
