last_author_gender,rounds,count
andy,1.0,39
andy,1.5,129
andy,2.0,395
andy,2.5,98
andy,3.0,134
andy,3.5,13
andy,4.0,13
andy,5.0,2
female,0.5,1
female,1.0,58
female,1.5,260
female,2.0,704
female,2.5,166
female,3.0,194
female,3.5,18
female,4.0,16
female,5.0,4
male,0.5,18
male,1.0,282
male,1.5,1211
male,2.0,2676
male,2.5,757
male,3.0,660
male,3.5,59
male,4.0,62
male,4.5,1
male,5.0,10
male,5.5,1
unknown,0.5,3
unknown,1.0,93
unknown,1.5,366
unknown,2.0,957
unknown,2.5,235
unknown,3.0,275
unknown,3.5,24
unknown,4.0,31
unknown,4.5,1
unknown,5.0,4
